"IDLOCALIDAD","UNIDAD_DE_ANALISIS","IDPERIODO","IDEPOCA","IDEDADGEOLOGICA","IDEDAD_L/M","ISOTOPO","IDMAGNETOCRON","EDAD_MINIMA","MET_FECHADO_MNIMO","EDAD_MAXIMA","MET_FECHADO_MAXIMO"
150.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
151.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
152.00,"ND","QUAT","EPLE","ND","ND","ND","ND","ND","ND","ND","ND"
152.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
152.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
153.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
153.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
154.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
155.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
156.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
157.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
158.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
159.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
160.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
